ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,1157.00
VehiculosCreados,100
VehiculosCompletados,100
CiclosSemaforo,26
TiempoPromedio,65.42
VelocidadPromedio,7.67
TiempoDetenidoPromedio,14.58
Eficiencia,76.7
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
1,0.00,27.45,57.00,0.00,8.77
2,10.00,45.35,71.50,11.80,8.13
3,20.00,51.45,77.00,0.00,8.77
4,30.00,71.45,101.00,28.00,7.04
5,47.00,91.15,116.50,25.00,7.19
6,57.00,96.45,121.85,12.15,7.71
7,67.00,101.75,127.05,0.00,8.33
8,77.00,115.45,145.00,22.00,7.35
9,91.00,135.15,160.50,25.00,7.19
10,101.00,140.45,165.85,12.15,7.71
11,111.00,145.75,171.05,0.00,8.33
12,121.00,159.40,188.95,21.90,7.36
13,135.00,179.10,204.45,24.90,7.20
14,145.00,184.45,209.85,12.15,7.71
15,155.00,189.60,214.90,0.00,8.35
16,165.00,203.40,232.95,21.90,7.36
17,179.00,223.10,248.45,24.90,7.20
18,189.00,228.45,253.85,12.15,7.71
19,199.00,233.60,258.90,0.00,8.35
20,209.00,247.40,276.95,21.90,7.36
21,223.00,267.10,292.45,24.90,7.20
22,233.00,272.45,297.85,12.15,7.71
23,243.00,277.60,302.90,0.00,8.35
24,253.00,291.40,320.95,21.90,7.36
25,267.00,311.10,336.45,24.90,7.20
26,277.00,316.45,341.85,12.15,7.71
27,287.00,321.60,346.90,0.00,8.35
28,297.00,335.40,364.95,21.90,7.36
29,311.00,355.10,380.45,24.90,7.20
30,321.00,360.45,385.85,12.15,7.71
31,331.00,365.60,390.90,0.00,8.35
32,341.00,379.40,408.95,21.90,7.36
33,355.00,399.10,424.45,24.90,7.20
34,365.00,404.45,429.85,12.15,7.71
35,375.00,409.60,434.90,0.00,8.35
36,385.00,423.40,452.95,21.90,7.36
37,399.00,443.10,468.45,24.90,7.20
38,409.00,448.45,473.85,12.15,7.71
39,419.00,453.60,478.90,0.00,8.35
40,429.00,467.40,496.95,21.90,7.36
41,443.00,487.10,512.45,24.90,7.20
42,453.00,492.45,517.85,12.15,7.71
43,463.00,497.60,522.90,0.00,8.35
44,473.00,511.40,540.95,21.90,7.36
45,487.00,531.15,556.50,25.00,7.19
46,497.00,536.50,561.90,12.25,7.70
47,507.00,541.60,566.85,0.00,8.35
48,517.00,555.45,585.00,22.00,7.35
49,531.00,575.15,600.50,25.00,7.19
50,541.00,580.45,605.85,12.15,7.71
51,551.00,585.75,611.05,0.00,8.33
52,561.00,599.45,629.00,22.00,7.35
53,575.00,619.15,644.50,25.00,7.19
54,585.00,624.45,649.85,12.15,7.71
55,595.00,629.75,655.05,0.00,8.33
56,605.00,643.45,673.00,22.00,7.35
57,619.00,663.15,688.50,25.00,7.19
58,629.00,668.45,693.85,12.15,7.71
59,639.00,673.75,699.05,0.00,8.33
60,649.00,687.45,717.00,22.00,7.35
61,663.00,707.15,732.50,25.00,7.19
62,673.00,712.45,737.85,12.15,7.71
63,683.00,717.75,743.05,0.00,8.33
64,693.00,731.45,761.00,22.00,7.35
65,707.00,751.15,776.50,25.00,7.19
66,717.00,756.45,781.85,12.15,7.71
67,727.00,761.75,787.05,0.00,8.33
68,737.00,775.45,805.00,22.00,7.35
69,751.00,795.15,820.50,25.00,7.19
70,761.00,800.45,825.85,12.15,7.71
71,771.00,805.75,831.05,0.00,8.33
72,781.00,819.45,849.00,22.00,7.35
73,795.00,839.15,864.50,25.00,7.19
74,805.00,844.45,869.85,12.15,7.71
75,815.00,849.75,875.05,0.00,8.33
76,825.00,863.45,893.00,22.00,7.35
77,839.00,883.15,908.50,25.00,7.19
78,849.00,888.45,913.85,12.15,7.71
79,859.00,893.75,919.05,0.00,8.33
80,869.00,907.45,937.00,22.00,7.35
81,883.00,927.15,952.50,25.00,7.19
82,893.00,932.45,957.85,12.15,7.71
83,903.00,937.75,963.05,0.00,8.33
84,913.00,951.45,981.00,22.00,7.35
85,927.00,971.15,996.50,25.00,7.19
86,937.00,976.45,1001.85,12.15,7.71
87,947.00,981.75,1007.05,0.00,8.33
88,957.00,995.45,1025.00,22.00,7.35
89,971.00,1015.15,1040.50,25.00,7.19
90,981.00,1020.45,1045.85,12.15,7.71
91,991.00,1025.75,1051.05,0.00,8.33
92,1001.00,1039.45,1069.00,22.00,7.35
93,1015.00,1059.15,1084.50,25.00,7.19
94,1025.00,1064.45,1089.85,12.15,7.71
95,1035.00,1069.75,1095.05,0.00,8.33
96,1045.00,1083.45,1113.00,22.00,7.35
97,1059.00,1103.15,1128.50,25.00,7.19
98,1069.00,1108.45,1133.85,12.15,7.71
99,1079.00,1113.75,1139.05,0.00,8.33
100,1089.00,1127.45,1157.00,22.00,7.35
